,專利權人,專利件數,他人引證次數,自我引證次數,發明人數,平均專利年齡,活動年期,相對研發能力,國家,時期,indegree,closeness,betweenness,harmonic,eigenvector,katz,pagerank,laplacian,position_class
127,MICROSOFT TECHNOLOGY,18,2,0,39,12,5,0.04,US,2009_2013,0.0114942528735632,0.2265841438255231,0.0002998500749625,21.266666666666666,0.0145744351101672,0.033367560131305,0.0056911651686409,0.0251376078596047,largest community
128,NPEC,20,12,1,20,11,4,0.04,US,2009_2013,0.0919540229885057,0.2607933837959069,0.0028364195274344,27.116666666666653,0.1700158863847688,0.1591614257614082,0.0065184053277382,0.0277029782646319,largest community
129,LASER PACIFIC MEDIA,20,12,1,20,11,4,0.04,US,2009_2013,0.0919540229885057,0.2607933837959069,0.0028364195274344,27.116666666666653,0.1700158863847688,0.1591614257614082,0.0065184053277382,0.0277029782646316,largest community
130,FAR EAST DEVELOPMENT,20,12,1,20,11,4,0.04,US,2009_2013,0.0919540229885057,0.2607933837959069,0.0028364195274344,27.116666666666653,0.1700158863847688,0.1591614257614082,0.0065184053277382,0.0277029782646316,largest community
131,FPC,19,12,1,17,11,3,0.04,US,2009_2013,0.0919540229885057,0.2607933837959069,0.0028364195274344,27.116666666666653,0.1700158863847688,0.1591614257614082,0.0065184053277382,0.0277029782646316,largest community
132,CREO MANUFACTURING AMERICA,19,12,1,17,11,3,0.04,US,2009_2013,0.0919540229885057,0.2607933837959069,0.0028364195274344,27.116666666666653,0.1700158863847688,0.1591614257614082,0.0065184053277382,0.0277029782646319,largest community
133,FUJINON,20,5,0,19,13,4,0.04,JP,2009_2013,0.0344827586206896,0.264574299676509,0.0,25.81666666666665,0.0612234539147825,0.0744846266168867,0.01305776770003,0.0395716759148164,largest community
134,ALTEK,23,3,0,28,12,5,0.04,TW,2009_2013,0.0114942528735632,0.228717192206036,0.0,21.399999999999995,0.0163378129241975,0.0348942292901926,0.0055041382366786,0.0211936619901834,largest community
135,3M INTIVE PROPERTIES,15,0,1,41,12,5,0.03,US,2009_2013,0.0,0.0,0.0,0.0,2.749317817453082e-26,0.0189995242670694,0.0027698298408852,0.0204166552638899,largest community
136,APPLE,17,0,4,14,11,3,0.03,US,2009_2013,0.0,0.0,0.0,0.0,2.749317817453082e-26,0.0189995242670694,0.0027698298408852,0.0200081196260808,largest community
137,BLACKBERRY,15,0,8,15,12,5,0.03,CA,2009_2013,0.0,0.0,0.0,0.0,2.749317817453082e-26,0.0189995242670694,0.0027698298408852,0.0215844006674092,isolate node
138,CAMERON JAMES,17,2,11,6,11,4,0.03,US,2009_2013,0.0114942528735632,0.0114942528735632,0.0,1.0,7.148226325378015e-25,0.0208994766937764,0.0051242185254731,0.0313180564625289,isolate community
139,JVC KENWOOD,13,4,1,26,12,5,0.03,JP,2009_2013,0.0229885057471264,0.2607933837959069,0.0079524191392675,25.03333333333332,0.0615785161291226,0.070587341395801,0.0129067965955638,0.032706246266522,largest community
140,HOYA,20,2,6,8,12,5,0.03,JP,2009_2013,0.0,0.0,0.0,0.0,2.749317817453082e-26,0.0189995242670694,0.0027698298408852,0.0166203932840931,other community
141,INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE,11,2,0,41,11,5,0.03,TW,2009_2013,0.0229885057471264,0.2561084727097529,0.008019246190858,24.616666666666656,0.0361857119547409,0.0518289620214618,0.0060524423385726,0.0249879187662277,largest community
142,MICRON TECHNOLOGY,14,2,0,19,12,5,0.03,US,2009_2013,0.0114942528735632,0.1817557356779777,0.0,17.116666666666664,0.0034495907983457,0.0234217120769187,0.0056448609651775,0.0328005777821318,other community
143,NOKIA TECHNOLOGIES OY,15,1,0,22,12,5,0.03,FI,2009_2013,0.0114942528735632,0.1825781324213926,0.0,17.049999999999994,0.0021858151864077,0.0228797661446405,0.0035894298625812,0.0244733664131141,largest community
144,QISDA,16,0,0,22,11,5,0.03,TW,2009_2013,0.0,0.0,0.0,0.0,2.749317817453082e-26,0.0189995242670694,0.0027698298408852,0.0191882012306479,largest community
145,QUALCOMM RPORATED,13,3,2,18,12,4,0.03,US,2009_2013,0.0114942528735632,0.2350207874786011,0.0082865543972199,22.399999999999988,0.0303112058804177,0.044221885729528,0.0033823255848317,0.0252868905323651,other community
146,NAN CHANG O-FILM OPTOELECTRONICS TECHNOLOGY,13,2,5,30,11,4,0.03,CN,2009_2013,0.0229885057471264,0.1835627250752306,0.000795511922216,17.799999999999997,0.0021858151864077,0.0249697138140182,0.0051001691755672,0.023591199666769,largest community
147,TOKYO ELECTRON,14,1,0,28,12,5,0.03,JP,2009_2013,0.0114942528735632,0.1880166299828809,0.0,18.0,0.0026833336660874,0.0239541443471153,0.0041113979937091,0.0248383791817744,other community
148,OMSION TECHNOLOGIES,13,1,1,33,11,5,0.03,US,2009_2013,0.0,0.0,0.0,0.0,2.749317817453082e-26,0.0189995242670694,0.0027698298408852,0.0214203385272286,largest community
149,OMRON,15,1,12,20,12,5,0.03,JP,2009_2013,0.0114942528735632,0.2337772912485556,0.0,21.89999999999999,0.0163378129241975,0.0348942292901926,0.0036812659728163,0.0238496266457772,largest community
150,NEC,11,5,0,13,12,4,0.02,JP,2009_2013,0.0229885057471264,0.2561084727097529,0.0,24.61666666666665,0.0437534568903923,0.0576341402690495,0.0048401915263019,0.0197278187555976,largest community
151,MOTOROLA SOLUTIONS,8,1,1,21,12,5,0.02,US,2009_2013,0.0,0.0,0.0,0.0,2.749317817453082e-26,0.0189995242670694,0.0027698298408852,0.0227509691163518,largest community
152,ASIA OPTICAL INTERNATIONAL,12,3,0,16,13,4,0.02,"VIRGIN ISLANDS, BRITISH",2009_2013,0.0114942528735632,0.2350207874786011,0.0,22.399999999999988,0.0303112058804177,0.044221885729528,0.0039948213287782,0.024702120578043,largest community
153,DAI NIPPON PRINTING,10,6,1,18,13,3,0.02,JP,2009_2013,0.057471264367816,0.2220296886732513,0.0,23.16666666666666,0.0827808403167653,0.0882575501567867,0.0047804057780832,0.0278640665170538,largest community
154,CHAPMAN/LEONARD STUDIO EQUIPMENT,10,4,4,3,11,5,0.02,US,2009_2013,0.0,0.0,0.0,0.0,2.749317817453082e-26,0.0189995242670694,0.0027698298408852,0.0215844006674092,isolate node
155,CHRISTIE DIGITAL SYSTEMS USA,7,0,0,10,11,3,0.01,US,2009_2013,0.0,0.0,0.0,0.0,2.749317817453082e-26,0.0189995242670694,0.0027698298408852,0.0192439547057856,largest community
156,BARCO,4,2,0,8,13,3,0.01,BE,2009_2013,,,,,,,,,
157,APPLIED MATERIALS,6,0,0,6,10,2,0.01,US,2009_2013,0.0,0.0,0.0,0.0,2.749317817453082e-26,0.0189995242670694,0.0027698298408852,0.0166297622216848,other community
158,ADTEC ENGINEERING,5,0,0,11,13,3,0.01,JP,2009_2013,,,,,,,,,
159,AGFA NV,5,0,2,17,13,2,0.01,BE,2009_2013,0.0,0.0,0.0,0.0,2.749317817453082e-26,0.0189995242670694,0.0027698298408852,0.0215844006674091,isolate node
160,FUNAI ELECTRIC,7,1,0,11,11,3,0.01,JP,2009_2013,0.0114942528735632,0.2401299350324837,0.0,22.283333333333328,0.0192059882024387,0.0369024711839907,0.0035465096123805,0.0235099568396613,largest community
161,GLOBALFOUNDRIES,4,1,0,8,12,3,0.01,US,2009_2013,0.0114942528735632,0.1880166299828809,0.0,18.0,0.0026833336660874,0.0239541443471153,0.0041113979937091,0.0248383791817738,other community
162,GOOGLE,8,0,0,12,11,4,0.01,US,2009_2013,0.0,0.0,0.0,0.0,2.749317817453082e-26,0.0189995242670694,0.0027698298408852,0.0240719207904784,isolate community
163,DENSO,6,1,0,9,12,4,0.01,JP,2009_2013,,,,,,,,,
164,DRAPER,6,0,4,4,12,5,0.01,US,2009_2013,0.0,0.0,0.0,0.0,2.749317817453082e-26,0.0189995242670694,0.0027698298408852,0.0215844006674086,isolate node
165,KYOCERA,6,0,0,8,13,3,0.01,JP,2009_2013,,,,,,,,,
166,INTERNATIONAL BUSINESS MACHINES,8,0,0,15,11,2,0.01,US,2009_2013,,,,,,,,,
167,I-PRO,4,1,0,14,12,3,0.01,JP,2009_2013,,,,,,,,,
168,JPMORGAN CHASE BANK,7,1,0,12,14,3,0.01,US,2009_2013,0.0114942528735632,0.254584017515052,0.0,24.116666666666653,0.0361857119547409,0.0499290095947548,0.0036980536539846,0.0178217065737043,largest community
169,KLA-TENCOR,7,0,1,15,12,5,0.01,US,2009_2013,0.0,0.0,0.0,0.0,2.749317817453082e-26,0.0189995242670694,0.0027698298408852,0.0215844006674089,isolate node
170,ROBERT BOSCH,5,1,0,6,12,2,0.01,DE,2009_2013,0.0,0.0,0.0,0.0,2.749317817453082e-26,0.0189995242670694,0.0027698298408852,0.0186804018106636,largest community
171,SAMSUNG DISPLAY CO,4,0,0,14,12,3,0.01,KR,2009_2013,0.0,0.0,0.0,0.0,2.749317817453082e-26,0.0189995242670694,0.0027698298408852,0.0166893126853301,other community
172,TDK TAIWAN CORP,6,2,1,4,11,3,0.01,TW,2009_2013,0.0114942528735632,0.1949602122015915,0.0,18.21666666666667,0.0041181541373056,0.0239924243155511,0.0074914646335225,0.0366017304065119,other community
173,SHANGHAI MICRO ELECTRONICS EQUIPMENT,4,0,0,11,12,2,0.01,CN,2009_2013,,,,,,,,,
174,THE BOEING,7,0,0,18,11,3,0.01,US,2009_2013,,,,,,,,,
175,WITTEKAMP JJ,4,0,1,11,11,3,0.01,NL,2009_2013,0.0,0.0,0.0,0.0,2.749317817453082e-26,0.0189995242670694,0.0027698298408852,0.0215844006674091,isolate node
176,TOSHIBA MEMORY,3,0,0,7,13,2,0.0,JP,2009_2013,,,,,,,,,
177,WELLS FARGO BANK NATIONAL ASSOCIATION AS ADMINISTRATIVE AGENT,3,0,1,4,12,3,0.0,US,2009_2013,0.0,0.0,0.0,0.0,2.749317817453082e-26,0.0189995242670694,0.0027698298408852,0.0174084710487759,largest community
178,REALLY RIGHT STUFF,4,0,3,2,12,4,0.0,US,2009_2013,0.0,0.0,0.0,0.0,2.749317817453082e-26,0.0189995242670694,0.0027698298408852,0.0215844006674089,isolate node
179,GOPRO,3,0,1,1,12,2,0.0,US,2009_2013,0.0,0.0,0.0,0.0,2.749317817453082e-26,0.0189995242670694,0.0027698298408852,0.0215844006674091,isolate node
180,AMAZON TECHNOLOGIES,2,0,0,4,11,2,0.0,US,2009_2013,,,,,,,,,
181,AXIS AB,2,0,0,3,11,2,0.0,SE,2009_2013,,,,,,,,,
182,BENQ,3,0,0,9,13,3,0.0,TW,2009_2013,,,,,,,,,
183,BOE TECHNOLOGY,1,0,0,5,10,1,0.0,CN,2009_2013,,,,,,,,,
184,APPOTRONICS,1,0,0,2,10,1,,CN,2009_2013,0.0,0.0,0.0,0.0,2.749317817453082e-26,0.0189995242670694,0.0027698298408852,0.0190757515378753,largest community
185,MATSUSHITA ELECTRIC INDUSTRIAL,1,0,0,1,11,1,,JP,2009_2013,0.0,0.0,0.0,0.0,2.749317817453082e-26,0.0189995242670694,0.0027698298408852,0.0166893126853307,other community
186,ASML NETHERLANDS,461,17,92,734,7,5,1.0,NL,2014_2018,0.056338028169014,0.1239833366395556,0.0004024144869215,11.0,0.0234842384135373,0.1134208725913219,0.0169902513227851,0.0425785043417836,other community
187,CANON,413,7,14,402,7,5,0.79,JP,2014_2018,0.0704225352112676,0.1450404554989511,0.0436998179553511,12.166666666666668,0.1147013201355109,0.14328525421587,0.0192224226772841,0.0460206077671823,largest community
188,SEIKO EPSON,385,78,44,276,7,5,0.76,JP,2014_2018,0.1267605633802817,0.1947686116700201,0.045939925265881,15.5,0.3285464502427564,0.2343056006360755,0.0556802920018713,0.0593296894675071,largest community
189,NIKON,323,28,147,203,8,5,0.64,JP,2014_2018,0.0985915492957746,0.1600326597264748,0.0028437290409121,14.583333333333336,0.049489112489642,0.1461751302398281,0.042432681637746,0.0562626319309834,other community
190,CARL ZEISS SMT,305,3,53,343,7,5,0.61,DE,2014_2018,0.0140845070422535,0.100248550124275,0.0044265593561368,7.999999999999999,0.0199977108977716,0.0894512133736557,0.0065138993154751,0.0292945888413834,other community
191,PANASONIC,129,43,7,185,7,5,0.29,JP,2014_2018,0.1690140845070422,0.2004971002485501,0.0447207051834818,16.666666666666664,0.3253831160744389,0.2531604949087134,0.0576514731439146,0.0610878620007164,largest community
192,RICOH,124,22,30,107,7,5,0.25,JP,2014_2018,0.0845070422535211,0.1450404554989511,0.0325543738622209,12.583333333333336,0.2701799861960279,0.1901589901118045,0.0197316795544391,0.0418893463874074,largest community
193,SONY,111,15,32,131,7,5,0.23,JP,2014_2018,0.0985915492957746,0.1793921423276501,0.0185268755389479,14.333333333333334,0.3159426573062977,0.2158697757357859,0.049449009805267,0.054370267387566,largest community
194,SAMSUNG ELECTRONICS,80,5,1,190,7,5,0.19,KR,2014_2018,0.028169014084507,0.1310942578548212,0.0027536648462201,10.333333333333334,0.0750810265050517,0.1110381598220763,0.0141564252541079,0.034149788531868,largest community
195,CASIO COMPUTER,79,27,9,44,7,5,0.16,JP,2014_2018,0.1549295774647887,0.2004971002485501,0.0208618376928236,16.333333333333336,0.4134152573828955,0.268700641751437,0.0388887558571128,0.0487732349212248,largest community
196,CORETRONIC,66,16,3,89,6,5,0.14,TW,2014_2018,0.0985915492957746,0.1623071763916834,0.0192531378748682,13.666666666666668,0.2593909518592999,0.1961449246082563,0.0217772501397429,0.0416753750160325,largest community
197,TAIWAN SEMICONDUCTOR MANUFACTURING,58,0,4,117,7,5,0.13,TW,2014_2018,0.0,0.0,0.0,0.0,3.637493400414968e-12,0.0751226992518932,0.0054597325847773,0.0315962693571167,isolate community
198,SHARP NEC DISPLAY SOLUTIONS,69,7,1,45,7,5,0.13,JP,2014_2018,0.0704225352112676,0.1585325908942024,0.003741017533774,12.833333333333334,0.2337504382948779,0.176831226566001,0.0133521286197719,0.0326598083942302,largest community
199,DELTA ELECTRONICS,67,7,4,38,8,5,0.12,TW,2014_2018,0.0704225352112676,0.1481935088793631,0.0107128485196895,12.416666666666668,0.2246741120148707,0.1746501727505892,0.013810047429903,0.0361794061256998,largest community
200,FUJIFILM,55,3,2,79,7,5,0.11,JP,2014_2018,0.028169014084507,0.1117524821057492,0.0070422535211267,9.25,0.0330877990101591,0.1005550219592418,0.009522278130252,0.0295586943752348,largest community
201,LG ELECTRONICS,45,2,1,96,7,5,0.1,KR,2014_2018,0.0140845070422535,0.1064386317907444,0.0123895755485292,8.616666666666667,0.0471047683867729,0.0941385716462351,0.0063425071944217,0.0306826847041665,other community
202,MAXELL,44,16,4,49,7,5,0.09,JP,2014_2018,0.0985915492957746,0.1585325908942024,0.0002917505030181,13.500000000000002,0.3139936948061811,0.2114369172842914,0.0221270660242336,0.0367221121593632,largest community
203,DISNEY ENTERPRISES,38,8,2,70,7,5,0.09,US,2014_2018,0.0,0.0,0.0,0.0,3.637493400414968e-12,0.0751226992518932,0.0054597325847773,0.0283262294157383,largest community
204,AMAZON TECHNOLOGIES,30,7,2,70,7,5,0.07,US,2014_2018,0.0140845070422535,0.1048754062838569,0.0009054325955734,8.366666666666665,0.0391709835271274,0.0925876943931303,0.0064379845107974,0.0298615490246654,largest community
205,APPLE,32,3,4,66,8,5,0.07,US,2014_2018,0.028169014084507,0.1398737251092763,0.0,11.166666666666666,0.0649417077080304,0.1098525692116615,0.0088091819554923,0.0347346470477173,other community
