,專利權人,專利件數,他人引證次數,自我引證次數,發明人數,平均專利年齡,活動年期,相對研發能力,國家,時期,indegree,closeness,betweenness,harmonic,eigenvector,katz,pagerank,laplacian,position_class
0,ASML NETHERLANDS,349,18,42,505,16,5,1.0,NL,2004_2008,0.12,0.1669565217391304,0.0357142857142857,11.9,0.5307683247385814,0.2107038465245042,0.0878631636255825,0.0947191582351518,largest community
1,SEIKO EPSON,131,12,7,152,16,5,0.36,JP,2004_2008,0.12,0.1469565217391304,0.0771428571428571,9.000000000000002,3.955277032516423e-05,0.2000953428194403,0.0829847460152631,0.0882338956177945,other community
2,CANON,122,7,2,138,16,5,0.32,JP,2004_2008,0.1,0.1986206896551724,0.0361224489795918,12.566666666666668,0.2824634236137193,0.2018200021534127,0.0724668354703653,0.0723384766504491,other community
3,NIKON,72,4,7,95,16,5,0.2,JP,2004_2008,0.06,0.1669565217391304,0.0216326530612244,10.233333333333333,0.2824238708433931,0.1688500795751417,0.0293359959301686,0.0504961300560746,largest community
4,MAXELL,39,8,3,53,17,5,0.11,JP,2004_2008,0.1,0.1609523809523809,0.0416326530612244,9.0,6.399772673533396e-05,0.1962590629011347,0.0579361572851833,0.0711610271813724,other community
5,SAMSUNG ELECTRONICS,39,1,0,70,16,4,0.11,KR,2004_2008,0.02,0.0994117647058823,0.0216326530612244,5.749999999999999,2.4444956410169728e-05,0.1403224921566522,0.0144825948998118,0.0428854067534916,largest community
6,FUJIFILM,39,2,2,49,16,4,0.1,JP,2004_2008,0.02,0.1506024096385542,0.0,8.816666666666665,0.1502909506640683,0.1404949400912306,0.0279602183044509,0.0633462426585946,other community
7,SHARP NEC DISPLAY SOLUTIONS,27,21,6,30,16,4,0.09,JP,2004_2008,0.1,0.1383783783783783,0.0324489795918367,9.083333333333334,3.955277032568002e-05,0.1903511864297047,0.0677443438645381,0.0745906797010979,other community
8,CARL ZEISS SMT,26,1,0,76,15,4,0.08,DE,2004_2008,0.02,0.0816666666666666,0.0026530612244897,4.8500000000000005,1.5107813914994507e-05,0.1343452079806893,0.0105064433971161,0.038904955222259,largest community
9,HEWLETT-PACKARD DEVELOPMENT,21,0,0,58,17,5,0.06,US,2004_2008,0.0,0.0,0.0,0.0,3.19984738791617e-40,0.1203129601726857,0.007428872940026,0.0335782533606098,other community
10,JPMORGAN CHASE BANK,23,4,3,30,16,4,0.06,US,2004_2008,0.0,0.0,0.0,0.0,3.19984738791617e-40,0.1203129601726857,0.007428872940026,0.0404716183018576,isolate node
11,PE RICOH IMAGING,25,0,2,24,16,4,0.06,JP,2004_2008,0.0,0.0,0.0,0.0,3.19984738791617e-40,0.1203129601726857,0.007428872940026,0.0404716183018571,isolate node
12,SANYO ELECTRIC,17,4,2,29,16,4,0.05,JP,2004_2008,0.04,0.1090322580645161,0.0128571428571428,6.499999999999999,3.955277032516423e-05,0.1543547399646558,0.0327885814661669,0.0555589962422323,other community
13,SONY,17,1,0,33,15,3,0.05,JP,2004_2008,0.02,0.02,0.0081632653061224,1.0,2.6878718058495816e-38,0.1323442561899543,0.0137434500303916,0.0486955061521894,other community
14,TEXAS INSTRUMENTS,16,10,0,18,16,4,0.04,US,2004_2008,0.08,0.2025,0.016938775510204,12.533333333333337,0.1502909506640673,0.181270074161916,0.029189601283603,0.0648994327850878,other community
15,OLYMPUS,17,0,0,29,15,3,0.04,JP,2004_2008,0.0,0.0,0.0,0.0,3.19984738791617e-40,0.1203129601726857,0.007428872940026,0.0402060348035495,other community
16,OM DIGITAL SOLUTIONS,17,2,1,18,17,5,0.04,JP,2004_2008,0.04,0.0925714285714285,0.006938775510204,6.133333333333335,1.5107813915510294e-05,0.1462790624112011,0.0131516437876711,0.050685795091804,other community
17,LG ELECTRONICS,14,0,0,27,16,4,0.04,KR,2004_2008,0.0,0.0,0.0,0.0,3.19984738791617e-40,0.1203129601726857,0.007428872940026,0.0335965372996246,other community
18,MATSUSHITA ELECTRIC INDUSTRIAL,15,1,0,33,16,3,0.04,JP,2004_2008,0.02,0.02,0.0081632653061224,1.0,2.6878718058495816e-38,0.1323442561899543,0.0137434500303916,0.0486955061521898,other community
19,MITSUBISHI ELECTRIC,17,2,1,28,16,4,0.04,JP,2004_2008,0.0,0.0,0.0,0.0,3.19984738791617e-40,0.1203129601726857,0.007428872940026,0.0404716183018578,isolate node
20,DAI NIPPON PRINTING,15,0,0,23,15,3,0.04,JP,2004_2008,,,,,,,,,
21,DOLBY LABORATORIES,11,8,13,19,16,3,0.04,US,2004_2008,0.0,0.0,0.0,0.0,3.19984738791617e-40,0.1203129601726857,0.007428872940026,0.0375308405107638,other community
22,ADTEC ENGINEERING,15,2,1,18,17,5,0.04,JP,2004_2008,0.02,0.1329787234042553,0.0,8.335714285714287,0.2823994258869829,0.1413833118593851,0.0240258405068514,0.058839267240703,largest community
23,AGFA NV,11,2,1,20,16,4,0.03,BE,2004_2008,0.02,0.02,0.0,1.0,2.6878718058495816e-38,0.1323442561899543,0.0137434500303916,0.0573321852717315,isolate community
24,CASIO COMPUTER,14,1,2,12,16,3,0.03,JP,2004_2008,0.02,0.0984615384615384,0.0130612244897959,5.933333333333334,2.444495641068552e-05,0.1393480765297099,0.0362228274362175,0.0547127980376546,other community
25,CITICORP NORTH AMERICA,10,0,0,25,17,5,0.03,US,2004_2008,0.0,0.0,0.0,0.0,3.19984738791617e-40,0.1203129601726857,0.007428872940026,0.0336279094159401,other community
26,KONICA MINOLTA OPTO,11,0,0,21,16,4,0.03,JP,2004_2008,0.0,0.0,0.0,0.0,3.19984738791617e-40,0.1203129601726857,0.007428872940026,0.0430261971841447,isolate community
27,RICOH,11,2,2,19,16,4,0.03,JP,2004_2008,0.04,0.0820454545454545,0.0,5.7285714285714295,9.337142495691008e-06,0.1469721615527898,0.0217657190639877,0.0679496022565622,other community
28,MICROSOFT TECHNOLOGY,9,0,1,19,16,3,0.02,US,2004_2008,0.0,0.0,0.0,0.0,3.19984738791617e-40,0.1203129601726857,0.007428872940026,0.0404716183018576,isolate node
29,MICROVISION,9,0,0,14,16,3,0.02,US,2004_2008,,,,,,,,,
30,CORETRONIC,10,2,0,16,17,4,0.02,TW,2004_2008,0.02,0.1024242424242424,0.0,5.833333333333333,2.4444956410169728e-05,0.1403224921566522,0.0215363168595977,0.0478299395283232,other community
31,BARCO,10,1,0,18,16,4,0.02,BE,2004_2008,0.02,0.1568,0.0,9.116666666666664,0.0799652411445335,0.1384399570735246,0.0198345091569234,0.058596366408256,other community
32,JVC KENWOOD,8,2,0,16,17,5,0.02,JP,2004_2008,0.04,0.2036363636363636,0.0,11.733333333333334,0.2302561918086018,0.1586219369920695,0.0403658545213483,0.0742308825236656,other community
33,GLOBALFOUNDRIES,7,4,0,18,17,5,0.02,US,2004_2008,0.04,0.1422222222222222,0.0,8.899999999999999,0.4326659315946401,0.1582683018301117,0.0281815449129712,0.0467609522294248,largest community
34,HON HAI PRECISION INDUSTRY,5,0,0,4,15,2,0.01,TW,2004_2008,0.0,0.0,0.0,0.0,3.19984738791617e-40,0.1203129601726857,0.007428872940026,0.0430946494848557,other community
35,DELTA ELECTRONICS,6,0,0,6,17,4,0.01,TW,2004_2008,,,,,,,,,
36,FUJINON,7,0,0,14,16,2,0.01,JP,2004_2008,,,,,,,,,
37,BENQ,8,0,0,7,16,3,0.01,TW,2004_2008,0.0,0.0,0.0,0.0,3.19984738791617e-40,0.1203129601726857,0.007428872940026,0.0336188321174809,other community
38,3M INTIVE PROPERTIES,5,0,0,12,16,3,0.01,US,2004_2008,0.0,0.0,0.0,0.0,3.19984738791617e-40,0.1203129601726857,0.007428872940026,0.0335965372996254,other community
39,CHAPMAN/LEONARD STUDIO EQUIPMENT,6,0,3,1,17,2,0.01,US,2004_2008,0.0,0.0,0.0,0.0,3.19984738791617e-40,0.1203129601726857,0.007428872940026,0.0404716183018576,isolate node
40,MICRON TECHNOLOGY,5,0,1,9,16,3,0.01,US,2004_2008,0.0,0.0,0.0,0.0,3.19984738791617e-40,0.1203129601726857,0.007428872940026,0.0404716183018571,isolate node
41,NOKIA TECHNOLOGIES OY,6,0,0,18,16,3,0.01,FI,2004_2008,0.0,0.0,0.0,0.0,3.19984738791617e-40,0.1203129601726857,0.007428872940026,0.033163176223651,largest community
42,NIDEC COPAL,4,0,0,9,16,3,0.01,JP,2004_2008,,,,,,,,,
43,SAMSUNG DISPLAY CO,4,0,0,13,16,2,0.01,KR,2004_2008,0.0,0.0,0.0,0.0,3.19984738791617e-40,0.1203129601726857,0.007428872940026,0.0331631762236517,largest community
44,PANASONIC,4,0,0,13,16,2,0.01,JP,2004_2008,,,,,,,,,
45,YOUNG OPTICS,5,0,0,7,17,5,0.01,TW,2004_2008,0.0,0.0,0.0,0.0,3.19984738791617e-40,0.1203129601726857,0.007428872940026,0.0375308405107638,other community
46,TAIWAN SEMICONDUCTOR MANUFACTURING,5,0,0,17,16,3,0.01,TW,2004_2008,,,,,,,,,
47,TOKYO ELECTRON,4,0,0,8,16,2,0.01,JP,2004_2008,,,,,,,,,
48,TOSHIBA MEMORY,3,3,0,8,17,3,0.01,JP,2004_2008,0.04,0.1506024096385542,0.0,9.4,0.4326659315946401,0.1582683018301117,0.0261036927099113,0.0611459940250895,largest community
49,THE BOEING,2,1,0,4,16,2,0.0,US,2004_2008,0.02,0.02,0.0,1.0,2.6878718058495816e-38,0.1323442561899543,0.0137434500303916,0.0573321852717317,isolate community
50,REALLY RIGHT STUFF,3,0,2,3,17,3,0.0,US,2004_2008,0.0,0.0,0.0,0.0,3.19984738791617e-40,0.1203129601726857,0.007428872940026,0.0404716183018572,isolate node
51,GOPRO,3,0,3,2,16,3,0.0,US,2004_2008,0.0,0.0,0.0,0.0,3.19984738791617e-40,0.1203129601726857,0.007428872940026,0.0404716183018574,isolate node
52,NAN CHANG O-FILM OPTOELECTRONICS TECHNOLOGY,2,0,0,7,15,1,0.0,CN,2004_2008,,,,,,,,,
53,NEC,3,0,0,3,16,2,0.0,JP,2004_2008,0.0,0.0,0.0,0.0,3.19984738791617e-40,0.1203129601726857,0.007428872940026,0.0339394512936057,other community
54,LAB PARTNERS ASSOCIATES,3,0,1,1,16,2,0.0,US,2004_2008,0.0,0.0,0.0,0.0,3.19984738791617e-40,0.1203129601726857,0.007428872940026,0.0404716183018573,isolate node
55,CHRISTIE DIGITAL SYSTEMS USA,3,0,0,8,16,3,0.0,US,2004_2008,0.0,0.0,0.0,0.0,3.19984738791617e-40,0.1203129601726857,0.007428872940026,0.0335965372996248,other community
56,APPLE,3,0,0,8,16,2,0.0,US,2004_2008,,,,,,,,,
57,APPLIED MATERIALS,3,0,0,5,16,3,0.0,US,2004_2008,,,,,,,,,
58,HOYA,3,0,0,3,16,2,0.0,JP,2004_2008,,,,,,,,,
59,I-PRO,3,0,0,8,15,2,0.0,JP,2004_2008,,,,,,,,,
60,GOOGLE,1,0,0,1,15,1,,US,2004_2008,,,,,,,,,
