,專利權人,專利件數,他人引證次數,自我引證次數,發明人數,平均專利年齡,活動年期,相對研發能力,國家,時期,indegree,closeness,betweenness,harmonic,eigenvector,katz,pagerank,laplacian,position_class
140,CANON,244,0,19,251,2,4,0.33,JP,2019_2022,0.0,0.0,0.0,0.0,1.2803114336822983e-34,0.1382562639136503,0.007724138811739,0.0610104714086462,other community
141,CARL ZEISS SMT,168,6,9,265,3,4,0.25,DE,2019_2022,0.0909090909090909,0.1534090909090908,0.0067866161616161,5.833333333333333,0.2094786897215723,0.201357995110853,0.022271603942391,0.081101653377184,largest community
142,SHIN-ETSU CHEMICAL CO,162,19,44,93,2,4,0.22,JP,2019_2022,0.2727272727272727,0.35650623885918,0.0918560606060606,14.0,0.5366165878500595,0.2957797829386375,0.1973468256684146,0.1362600574331742,other community
143,SAMSUNG ELECTRONICS,119,11,12,317,2,4,0.21,KR,2019_2022,0.0909090909090909,0.1443850267379679,0.0485637626262626,5.666666666666666,0.1354255330778397,0.1927494680225576,0.0322718266699918,0.0990680964694371,largest community
144,NIKON,122,6,11,70,3,4,0.15,JP,2019_2022,0.0606060606060606,0.1594896331738437,0.0,5.833333333333333,0.1504176740820562,0.1817958650351253,0.025629341708975,0.0872663223517235,largest community
145,FUJIFILM,104,4,7,151,3,4,0.15,JP,2019_2022,0.0909090909090909,0.2473716759431045,0.0075757575757575,9.749999999999998,0.4003788164218217,0.2052451681742095,0.1275692094689968,0.0925627394692354,other community
146,APPLIED MATERIALS,98,2,27,135,2,4,0.14,US,2019_2022,0.0606060606060606,0.1168831168831168,0.0079545454545454,4.75,0.1413121489939775,0.1779541669455827,0.0122834913432291,0.0684179093004499,largest community
147,BOE TECHNOLOGY,63,0,1,219,3,4,0.12,CN,2019_2022,0.0,0.0,0.0,0.0,1.2803114336822983e-34,0.1382562639136503,0.007724138811739,0.0622360036132797,isolate community
148,KLA-TENCOR,73,0,9,164,2,4,0.12,US,2019_2022,0.0,0.0,0.0,0.0,1.2803114336822983e-34,0.1382562639136503,0.007724138811739,0.0582577691465485,largest community
149,ROHM AND HAAS ELECTRONIC MATERIALS,72,12,5,109,3,4,0.11,US,2019_2022,0.1212121212121212,0.2525252525252525,0.0189393939393939,10.249999999999998,0.3469006223912957,0.2144129343565461,0.1616973795908005,0.1100638561462515,other community
150,SAMSUNG DISPLAY CO,54,5,6,198,3,4,0.11,KR,2019_2022,0.0606060606060606,0.1067193675889328,0.0151515151515151,4.5,0.0531743997233783,0.1713568199386083,0.0194333564089051,0.0846938993003316,other community
151,TOKYO ELECTRON,74,3,2,134,3,4,0.11,JP,2019_2022,0.0606060606060606,0.1291866028708133,0.0027935606060606,4.999999999999999,0.1354255330778397,0.1776669665034479,0.0157493474471736,0.0647842614932848,largest community
152,TOKYO OHKA KOGYO,66,2,13,76,3,4,0.09,JP,2019_2022,0.0303030303030303,0.2287021154945683,0.0189393939393939,8.416666666666666,0.2106957914038637,0.1678341788156345,0.0263621402102824,0.0610093450423278,other community
153,INTERNATIONAL BUSINESS MACHINES,52,3,4,120,3,4,0.09,US,2019_2022,0.0909090909090909,0.2754820936639118,0.0136363636363636,10.416666666666668,0.36111346548592,0.2098655297865811,0.0362941152144943,0.0617203905638108,largest community
154,HOYA,70,2,14,36,2,4,0.09,JP,2019_2022,0.0606060606060606,0.1212121212121212,0.0042140151515151,4.999999999999999,0.1086601602413476,0.1753265923265549,0.0146593738017136,0.05699262058406,largest community
155,NISSAN CHEMICAL INDUSTRIES,49,0,1,49,3,4,0.06,JP,2019_2022,0.0,0.0,0.0,0.0,1.2803114336822983e-34,0.1382562639136503,0.007724138811739,0.0442006140862333,other community
156,JSR,31,0,2,58,2,4,0.05,JP,2019_2022,0.0,0.0,0.0,0.0,1.2803114336822983e-34,0.1382562639136503,0.007724138811739,0.0559551465766339,isolate node
157,SHANGHAI MICRO ELECTRONICS EQUIPMENT (),33,1,1,70,3,3,0.05,CN,2019_2022,0.0,0.0,0.0,0.0,1.2803114336822983e-34,0.1382562639136503,0.007724138811739,0.0559551465766341,isolate node
158,SUMITOMO CHEMICAL,36,0,2,37,3,4,0.05,JP,2019_2022,0.0,0.0,0.0,0.0,1.2803114336822983e-34,0.1382562639136503,0.007724138811739,0.0442200150136421,other community
159,TOSHIBA MEMORY,27,3,0,47,3,3,0.04,JP,2019_2022,0.0303030303030303,0.0303030303030303,0.0,1.0,7.809899745462023e-33,0.1520818903050154,0.0101862561602264,0.0659697583846734,other community
160,LG CHEM,24,2,0,57,2,4,0.04,KR,2019_2022,0.0303030303030303,0.1805896805896805,0.0,6.766666666666666,0.0827266369569059,0.1550396567182926,0.0127035959302568,0.0741564604261807,other community
161,SHENZHEN CHINA STAR OPTOELECTRONICS SEMICONDUCTOR DISPLAY TECHNOLOGY,25,0,0,37,3,4,0.03,CN,2019_2022,,,,,,,,,
162,GLOBALFOUNDRIES,16,1,0,49,3,4,0.03,US,2019_2022,0.0303030303030303,0.0303030303030303,0.0,1.0,7.809899745462023e-33,0.1520818903050154,0.00991268756595,0.0648995373271812,largest community
163,AZ ELECTRONIC MATERIALS SÀ RL,22,1,0,43,3,4,0.03,LU,2019_2022,0.0303030303030303,0.1809136137494346,0.0,6.933333333333333,0.1362048309874319,0.1596975169273211,0.0764437101146403,0.0784571751861236,other community
164,INTEL,21,2,3,47,3,4,0.03,US,2019_2022,0.0303030303030303,0.0303030303030303,0.0066287878787878,1.0,7.809899745462023e-33,0.1520818903050154,0.014289785074372,0.0630878098948575,other community
165,TORAY INDUSTRIES,22,1,0,33,2,4,0.03,JP,2019_2022,0.0,0.0,0.0,0.0,1.2803114336822983e-34,0.1382562639136503,0.007724138811739,0.0582997938866474,other community
166,UNITED MICROELECTRONICS CORP,10,0,0,29,3,4,0.02,TW,2019_2022,0.0,0.0,0.0,0.0,1.2803114336822983e-34,0.1382562639136503,0.007724138811739,0.0623888778638854,other community
167,SHOWA DENKO MATERIALS,10,0,0,29,4,2,0.02,JP,2019_2022,,,,,,,,,
168,SK HYNIX,17,0,1,17,2,4,0.02,KR,2019_2022,0.0,0.0,0.0,0.0,1.2803114336822983e-34,0.1382562639136503,0.007724138811739,0.0559551465766344,isolate node
169,MERCK ELECTRONIC MATERIALS,6,0,0,22,2,3,0.01,DE,2019_2022,,,,,,,,,
170,MICRON TECHNOLOGY,7,0,1,14,3,4,0.01,US,2019_2022,0.0,0.0,0.0,0.0,1.2803114336822983e-34,0.1382562639136503,0.007724138811739,0.0559551465766343,isolate node
171,AGC,10,0,2,13,3,4,0.01,JP,2019_2022,0.0,0.0,0.0,0.0,1.2803114336822983e-34,0.1382562639136503,0.007724138811739,0.0559551465766343,isolate node
172,HITACHI,3,1,0,16,2,2,0.01,JP,2019_2022,0.0303030303030303,0.1317523056653491,0.0,4.916666666666667,0.0972432743586779,0.1625209354015324,0.0109622746355506,0.0629791111138422,largest community
173,CITIBANK,9,3,1,19,3,3,0.01,US,2019_2022,0.0303030303030303,0.0303030303030303,0.0,1.0,7.809899745462023e-33,0.1520818903050154,0.0101862561602264,0.0659697583846738,other community
174,D2S,2,0,0,1,3,2,0.0,US,2019_2022,,,,,,,,,
175,EASTMAN KODAK,1,1,0,4,4,1,0.0,US,2019_2022,,,,,,,,,
176,FAR EAST DEVELOPMENT,1,1,0,4,4,1,0.0,US,2019_2022,,,,,,,,,
177,FPC,1,1,0,4,4,1,0.0,US,2019_2022,,,,,,,,,
178,INFINEON TECHNOLOGIES AG,2,0,0,7,4,2,0.0,DE,2019_2022,,,,,,,,,
179,AGFA OFFSET BV,3,1,0,4,3,3,0.0,BE,2019_2022,0.0303030303030303,0.0303030303030303,0.0,1.0,7.809899745462023e-33,0.1520818903050154,0.014289785074372,0.0809864609122318,isolate community
180,ALTER DOMUS (US),2,0,0,8,3,2,0.0,US,2019_2022,,,,,,,,,
181,CHEIL INDUSTRIES,1,0,0,14,4,1,0.0,KR,2019_2022,,,,,,,,,
182,LASER PACIFIC MEDIA,1,1,0,4,4,1,0.0,US,2019_2022,,,,,,,,,
183,NPEC,1,1,0,4,4,1,0.0,US,2019_2022,,,,,,,,,
184,QUALEX,1,1,0,4,4,1,0.0,US,2019_2022,,,,,,,,,
185,RENESAS ELECTRONICS,1,0,0,1,4,1,0.0,JP,2019_2022,,,,,,,,,
